                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91398,                 0.7722,                0.91948,                0.82707,                0.79277,                0.85636,                0.67863,                0.76808,                 12.617,                0.85593,              0.0033308,              0.0033308,              0.0033308
                      2,                0.87748,                0.59027,                0.89605,                0.84183,                0.80746,                 0.8661,                0.68535,                 0.7516,                 12.379,                0.85842,              0.0066312,              0.0066312,              0.0066312
                      3,                0.88565,                  0.593,                0.90049,                0.85253,                0.79918,                0.86356,                0.68216,                0.76782,                 11.628,                0.86752,              0.0098985,              0.0098985,              0.0098985
                      4,                0.86758,                0.57744,                0.89814,                0.85068,                0.81268,                0.87179,                0.68996,                0.75133,                  11.37,                0.86255,              0.0098515,              0.0098515,              0.0098515
                      5,                0.83127,                0.54986,                0.89219,                 0.8521,                0.81807,                0.87636,                0.69708,                 0.7469,                 12.547,                0.85932,              0.0098515,              0.0098515,              0.0098515
                      6,                0.80785,                0.53046,                 0.8859,                0.86671,                0.82955,                0.88717,                0.71047,                0.73885,                 12.102,                0.85719,               0.009802,               0.009802,               0.009802
                      7,                0.79144,                0.51473,                0.88215,                0.86783,                0.82534,                0.88786,                0.70973,                0.73307,                 13.215,                0.85644,              0.0097525,              0.0097525,              0.0097525
                      8,                0.77856,                 0.5039,                0.87955,                0.85598,                0.82864,                0.88996,                0.71498,                0.73085,                 12.949,                0.85572,               0.009703,               0.009703,               0.009703
                      9,                 0.7675,                0.49487,                0.87709,                0.86918,                0.84231,                0.89669,                0.72246,                0.71679,                 12.623,                0.85283,              0.0096535,              0.0096535,              0.0096535
                     10,                0.76188,                 0.4888,                0.87656,                0.87141,                0.84768,                 0.8982,                0.73063,                0.71366,                 13.745,                0.85008,               0.009604,               0.009604,               0.009604
                     11,                0.75206,                0.47763,                0.87266,                0.86779,                0.84618,                0.89974,                0.72947,                0.71171,                 12.393,                0.85087,              0.0095545,              0.0095545,              0.0095545
                     12,                0.74712,                0.47452,                0.87051,                0.87222,                0.84573,                0.89971,                0.72982,                0.70505,                 13.006,                0.84807,               0.009505,               0.009505,               0.009505
                     13,                0.74252,                 0.4716,                0.87132,                0.86637,                0.84701,                0.89803,                0.73097,                 0.6979,                  13.94,                 0.8468,              0.0094555,              0.0094555,              0.0094555
                     14,                 0.7392,                0.46896,                 0.8711,                0.86124,                0.85363,                0.90113,                0.73386,                 0.6962,                 12.634,                0.84553,               0.009406,               0.009406,               0.009406
                     15,                0.73236,                 0.4601,                0.86837,                0.87751,                0.85069,                 0.9057,                 0.7397,                0.69312,                 13.756,                0.84467,              0.0093565,              0.0093565,              0.0093565
                     16,                0.73051,                0.45928,                0.86737,                0.87766,                0.85465,                0.90603,                0.74461,                0.68996,                 14.083,                0.84342,               0.009307,               0.009307,               0.009307
                     17,                0.72275,                0.45279,                0.86461,                0.87424,                0.85597,                0.90605,                0.74257,                0.69223,                 13.526,                0.84354,              0.0092575,              0.0092575,              0.0092575
                     18,                 0.7215,                0.45133,                0.86571,                0.88045,                0.85137,                0.90647,                 0.7451,                0.69072,                 14.014,                0.84374,               0.009208,               0.009208,               0.009208
                     19,                0.71884,                0.44979,                 0.8643,                0.87032,                0.86051,                0.90935,                0.74437,                0.68912,                 12.287,                 0.8445,              0.0091585,              0.0091585,              0.0091585
                     20,                0.71592,                 0.4476,                0.86304,                0.88065,                0.86045,                0.91033,                0.74802,                 0.6853,                 13.067,                0.84377,               0.009109,               0.009109,               0.009109
                     21,                0.70985,                 0.4404,                0.86191,                 0.8766,                0.85884,                0.90871,                0.74747,                0.68566,                 13.811,                0.84272,              0.0090595,              0.0090595,              0.0090595
