                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1111,                 1.1924,                0.95167,                0.67601,                0.66059,                0.69559,                 0.5133,                0.88071,                 8.0319,                0.86981,               0.070022,              0.0033308,              0.0033308
                      1,                 1.0298,                0.81616,                0.91946,                0.76158,                0.69683,                0.77161,                 0.5847,                 0.8477,                 7.2375,                0.86754,               0.039934,              0.0065762,              0.0065762
                      2,                 1.0227,                0.75845,                0.91754,                0.79333,                 0.7302,                0.79971,                0.60809,                 0.8373,                 9.3128,                0.86729,              0.0097585,              0.0097336,              0.0097336
                      3,                0.99041,                0.71448,                0.91224,                0.81273,                0.74562,                0.81631,                0.62978,                0.80621,                 9.8699,                0.86577,               0.009604,               0.009604,               0.009604
                      4,                0.95256,                0.67525,                  0.905,                0.82377,                 0.7562,                 0.8292,                 0.6405,                 0.8047,                 11.073,                0.86406,               0.009604,               0.009604,               0.009604
                      5,                0.92585,                0.64626,                0.89809,                0.82646,                0.77203,                 0.8392,                0.65028,                0.79075,                 10.577,                0.86181,               0.009472,               0.009472,               0.009472
                      6,                0.90497,                0.62355,                0.89239,                0.83868,                0.78111,                0.85459,                0.67018,                0.77496,                 11.258,                0.85562,                0.00934,                0.00934,                0.00934
                      7,                0.89143,                0.60952,                0.89042,                0.83823,                0.79435,                0.85966,                0.67343,                0.77484,                 11.737,                0.85196,               0.009208,               0.009208,               0.009208
                      8,                0.87917,                0.60085,                0.88732,                0.85438,                  0.783,                0.86078,                0.67882,                0.77085,                 11.684,                0.85248,               0.009076,               0.009076,               0.009076
                      9,                0.87057,                0.59076,                 0.8854,                0.83739,                0.78868,                 0.8584,                0.67116,                0.77122,                 11.182,                 0.8523,               0.008944,               0.008944,               0.008944
                     10,                0.86002,                0.58168,                0.88388,                0.84365,                0.79961,                0.86469,                 0.6854,                 0.7504,                 11.341,                0.85081,               0.008812,               0.008812,               0.008812
                     11,                 0.8509,                0.57231,                  0.881,                0.84173,                0.80567,                0.86633,                0.68794,                0.75419,                 11.693,                0.84948,                0.00868,                0.00868,                0.00868
                     12,                 0.8487,                0.56988,                 0.8819,                0.85081,                0.80958,                0.87242,                0.69259,                0.74917,                 12.148,                 0.8499,               0.008548,               0.008548,               0.008548
                     13,                0.84109,                0.56316,                0.87957,                0.84817,                0.81321,                0.87283,                0.69438,                0.74307,                 12.559,                 0.8465,               0.008416,               0.008416,               0.008416
                     14,                0.83841,                0.55994,                0.87791,                0.85167,                0.80735,                0.87278,                0.69496,                0.74332,                 12.478,                0.84804,               0.008284,               0.008284,               0.008284
                     15,                0.83776,                0.55856,                0.87822,                0.85399,                0.81191,                0.87808,                0.70126,                0.73743,                 11.991,                0.84609,               0.008152,               0.008152,               0.008152
                     16,                0.82844,                 0.5516,                0.87585,                0.84896,                0.81202,                0.87433,                0.69761,                0.73861,                 11.351,                0.84544,                0.00802,                0.00802,                0.00802
                     17,                0.82716,                0.54827,                0.87603,                0.86133,                0.81715,                0.88048,                0.70464,                0.73372,                 12.749,                0.84523,               0.007888,               0.007888,               0.007888
                     18,                0.82319,                0.54451,                0.87518,                0.85934,                0.81815,                0.87888,                0.70341,                0.73251,                 12.715,                0.84502,               0.007756,               0.007756,               0.007756
                     19,                0.82122,                0.54285,                0.87389,                0.86566,                0.81484,                0.88212,                0.70728,                0.72883,                 12.649,                  0.844,               0.007624,               0.007624,               0.007624
                     20,                0.81807,                0.53775,                 0.8736,                0.86373,                0.81764,                0.88178,                0.70705,                0.73015,                 12.318,                 0.8436,               0.007492,               0.007492,               0.007492
                     21,                0.81546,                0.53642,                0.87261,                0.85895,                0.82218,                0.88241,                0.70945,                 0.7266,                 12.106,                0.84243,                0.00736,                0.00736,                0.00736
                     22,                0.81518,                0.53666,                0.87397,                0.86685,                0.81416,                0.88276,                0.70843,                0.72646,                 12.646,                0.84271,               0.007228,               0.007228,               0.007228
